time  ,P_REL
0.0,0.002
0.25,0.001
0.5,0.001
0.75,0.001
1.0,0.001
1.25,0.002
1.5,0.003
1.75,0.006999999999999999
2.0,0.009000000000000001
2.25,0.013000000000000001
2.5,0.022000000000000002
2.75,0.031
3.0,0.046
3.25,0.049
3.5,0.053
3.75,0.063
4.0,0.083
4.25,0.11699999999999999
4.5,0.146
4.75,0.142
5.0,0.11800000000000001
5.25,0.114
5.5,0.10400000000000001
5.75,0.105
6.0,0.106
6.25,0.105
6.5,0.102
6.75,0.1
7.0,0.1
7.25,0.086
7.5,0.078
7.75,0.08199999999999999
8.0,0.078
8.25,0.079
8.5,0.073
8.75,0.071
9.0,0.059000000000000004
9.25,0.075
9.5,0.073
9.75,0.07
10.0,0.092
10.25,0.08800000000000001
10.5,0.092
10.75,0.109
11.0,0.084
11.25,0.099
11.5,0.127
11.75,0.142
12.0,0.14800000000000002
12.25,0.14800000000000002
12.5,0.145
12.75,0.142
13.0,0.153
13.25,0.15
13.5,0.16
13.75,0.163
14.0,0.166
14.25,0.165
14.5,0.172
14.75,0.17600000000000002
15.0,0.17300000000000001
15.25,0.18100000000000002
15.5,0.161
15.75,0.163
16.0,0.16
16.25,0.18100000000000002
16.5,0.18899999999999997
16.75,0.221
17.0,0.205
17.25,0.18899999999999997
17.5,0.163
17.75,0.15
18.0,0.17600000000000002
18.25,0.162
18.5,0.135
18.75,0.138
19.0,0.149
19.25,0.156
19.5,0.153
19.75,0.149
20.0,0.136
20.25,0.127
20.5,0.126
20.75,0.11199999999999999
21.0,0.11199999999999999
21.25,0.11599999999999999
21.5,0.13
21.75,0.11699999999999999
22.0,0.125
22.25,0.139
22.5,0.138
22.75,0.136
23.0,0.14300000000000002
23.25,0.147
23.5,0.157
23.75,0.15
