time  ,P_REL
0.0,0.239
0.25,0.25
0.5,0.23399999999999999
0.75,0.263
1.0,0.311
1.25,0.312
1.5,0.327
1.75,0.34600000000000003
2.0,0.342
2.25,0.335
2.5,0.361
2.75,0.385
3.0,0.377
3.25,0.42100000000000004
3.5,0.441
3.75,0.442
4.0,0.43
4.25,0.42
4.5,0.42700000000000005
4.75,0.413
5.0,0.445
5.25,0.455
5.5,0.47600000000000003
5.75,0.461
6.0,0.479
6.25,0.436
6.5,0.409
6.75,0.409
7.0,0.434
7.25,0.44
7.5,0.44
7.75,0.45399999999999996
8.0,0.451
8.25,0.45799999999999996
8.5,0.415
8.75,0.41200000000000003
9.0,0.436
9.25,0.444
9.5,0.43700000000000006
9.75,0.405
10.0,0.414
10.25,0.43
10.5,0.423
10.75,0.429
11.0,0.444
11.25,0.43
11.5,0.484
11.75,0.46299999999999997
12.0,0.435
12.25,0.435
12.5,0.414
12.75,0.41100000000000003
13.0,0.41600000000000004
13.25,0.42
13.5,0.423
13.75,0.38799999999999996
14.0,0.33399999999999996
14.25,0.325
14.5,0.315
14.75,0.299
15.0,0.276
15.25,0.264
15.5,0.272
15.75,0.251
16.0,0.24100000000000002
16.25,0.23600000000000002
16.5,0.28300000000000003
16.75,0.257
17.0,0.257
17.25,0.251
17.5,0.243
17.75,0.23399999999999999
18.0,0.242
18.25,0.19
18.5,0.20199999999999999
18.75,0.221
19.0,0.2
19.25,0.188
19.5,0.147
19.75,0.165
20.0,0.174
20.25,0.16699999999999998
20.5,0.147
20.75,0.15
21.0,0.14300000000000002
21.25,0.13699999999999998
21.5,0.13699999999999998
21.75,0.128
22.0,0.141
22.25,0.136
22.5,0.125
22.75,0.124
23.0,0.12300000000000001
23.25,0.128
23.5,0.156
23.75,0.155
